campaign_id,advertiser_id,campaign_name,platform,objective,total_budget,start_date,end_date
KFC_20241101_20250228_001,ADV01,KFC Bucket Offer,Eats,Conversions,150000,2024-11-01,2025-02-28
KFC_20241101_20250228_002,ADV01,KFC Brand Awareness,Eats,Awareness,80000,2024-11-01,2025-02-28
MCDONALDS_20241101_20250228_001,ADV02,McD Happy Meal Push,Eats,Conversions,120000,2024-11-01,2025-02-28
MCDONALDS_20241101_20250228_002,ADV02,McD Store Visibility,Eats,Traffic,70000,2024-11-01,2025-02-28
DOMINOS_20241101_20250228_001,ADV03,Dominos 30-Min Deals,Eats,Conversions,100000,2024-11-01,2025-02-28
DOMINOS_20241101_20250228_002,ADV03,Dominos Weekend Blast,Eats,Awareness,60000,2024-11-01,2025-02-28
NOBROKER_20241101_20250228_001,ADV04,NoBroker Zero Brokerage,Rides,Leads,200000,2024-11-01,2025-02-28
NOBROKER_20241101_20250228_002,ADV04,NoBroker Rentals,Rides,Traffic,90000,2024-11-01,2025-02-28
GODREJPROPERTIES_20241101_20250228_001,ADV05,Godrej New Launch,Rides,Leads,250000,2024-11-01,2025-02-28
MYNTRA_20241101_20250228_001,ADV06,Myntra End of Reason Sale,Eats,Traffic,130000,2024-11-01,2025-02-28
MYNTRA_20241101_20250228_002,ADV06,Myntra Fashion Forward,Rides,Awareness,110000,2024-11-01,2025-02-28
PEPSI_20241101_20250228_001,ADV07,Pepsi Summer Push,Eats,Awareness,95000,2024-11-01,2025-02-28
PEPSI_20241101_20250228_002,ADV07,Pepsi Ride Refresh,Rides,Awareness,85000,2024-11-01,2025-02-28
HDFCBANK_20241101_20250228_001,ADV08,HDFC Credit Card Offer,Rides,Conversions,180000,2024-11-01,2025-02-28
HDFCBANK_20241101_20250228_002,ADV08,HDFC SmartPay,Rides,Traffic,75000,2024-11-01,2025-02-28
BOAT_20241101_20250228_001,ADV09,boAt Airdopes Launch,Eats,Traffic,140000,2024-11-01,2025-02-28
BOAT_20241101_20250228_002,ADV09,boAt Rockerz Rides,Rides,Awareness,120000,2024-11-01,2025-02-28
MAMAEARTH_20241101_20250228_001,ADV10,Mamaearth Vitamin C,Eats,Conversions,90000,2024-11-01,2025-02-28
MAMAEARTH_20241101_20250228_002,ADV10,Mamaearth Store Front,Eats,Awareness,55000,2024-11-01,2025-02-28
